MANUAL ACTUALIZADO - FunctionBlocks/HomeSequenceFunctionBlock.cpp
================================================================================
Funcion inicial del archivo
- Encapsula la secuencia de HOME como bloque reusable.

Metodos, variables, secciones o instancias detectadas
- L11: `HomeSequenceStep currentStep =`
- L14: `int homeResult =`
- L18: `currentStep != HOME_STEP_DONE &&`
- L19: `homeResult == HOME_SEQUENCE_OK`
- L24: `printf("ERROR: Motion controller invalid.\n");`
- L25: `printf("Check axis names, duplicate names or STEP pins.\n");`
- L26: `homeResult =`
- L31: `currentStep =`
- L36: `motion.printAxisMap();`
- L38: `currentStep =`
- L44: `printf("ERROR: Invalid home order.\n");`
- L45: `motion.emergencyStop();`
- L46: `homeResult =`
- L51: `currentStep =`
- L56: `motion.printHomeOrder();`
- L58: `currentStep =`
- L63: `motion.init();`
- L65: `currentStep =`
- L70: `printf("Starting HOME...\n");`
- L72: `bool homingOk =`
- L73: `motion.homeAll();`
- L76: `printf("ERROR: HOME failed.\n");`
- L77: `motion.emergencyStop();`
- L78: `homeResult =`
- L83: `printf("HOME completed.\n");`
- L85: `currentStep =`
- L94: `motion.emergencyStop();`
- L95: `homeResult =`
- L101: `if (homeResult != HOME_SEQUENCE_OK) {`
- L108: `tight_loop_contents();`

Quien lo manda a llamar / relacion con otros archivos
- Los headers en lib son incluidos por implementaciones en src y por prgProject/main.cpp.
- Los .cpp son compilados por prgProject/CMakeLists.txt y sus funciones se ejecutan desde main.cpp o desde otros objetos del controlador.
- Los archivos config/recipes/*.txt son consumidos por RecipeLoader/SdRecipeStorage/MachineRecipeParser cuando se carga una receta.
- Los manuales son referencia de uso y no participan en la compilacion.

Explicacion linea por linea
| Linea | Codigo | Explicacion |
| 17 | `    while (` | Inicia un ciclo de repeticion sobre indices, estados o condiciones. |
| 18 | `        currentStep != HOME_STEP_DONE &&` | Asigna o configura un valor; en recetas define un parametro usado por el firmware. |
| 19 | `        homeResult == HOME_SEQUENCE_OK` | Asigna o configura un valor; en recetas define un parametro usado por el firmware. |
| 20 | `    ) {` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 21 | `        switch (currentStep) {` | Parte de una maquina de estados o seleccion multiple. |
| 22 | `            case HOME_STEP_VALIDATE_CONTROLLER:` | Parte de una maquina de estados o seleccion multiple. |
| 23 | `                if (!motion.isValid()) {` | Evalua una condicion para decidir si ejecutar el bloque siguiente. |
| 24 | `                    printf("ERROR: Motion controller invalid.\n");` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 25 | `                    printf("Check axis names, duplicate names or STEP pins.\n");` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 26 | `                    homeResult =` | Asigna o configura un valor; en recetas define un parametro usado por el firmware. |
| 27 | `                        HOME_SEQUENCE_ERROR_INVALID_CONTROLLER;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 28 | `                    break;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 29 | `                }` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 30 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 31 | `                currentStep =` | Asigna o configura un valor; en recetas define un parametro usado por el firmware. |
| 32 | `                    HOME_STEP_PRINT_AXIS_MAP;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 33 | `                break;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 34 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 35 | `            case HOME_STEP_PRINT_AXIS_MAP:` | Parte de una maquina de estados o seleccion multiple. |
| 36 | `                motion.printAxisMap();` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 37 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 38 | `                currentStep =` | Asigna o configura un valor; en recetas define un parametro usado por el firmware. |
| 39 | `                    HOME_STEP_CONFIGURE_HOME_ORDER;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 40 | `                break;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 41 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 42 | `            case HOME_STEP_CONFIGURE_HOME_ORDER:` | Parte de una maquina de estados o seleccion multiple. |
| 43 | `                if (!motion.setHomeOrderByName(orderedAxisNames)) {` | Evalua una condicion para decidir si ejecutar el bloque siguiente. |
| 44 | `                    printf("ERROR: Invalid home order.\n");` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 45 | `                    motion.emergencyStop();` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 46 | `                    homeResult =` | Asigna o configura un valor; en recetas define un parametro usado por el firmware. |
| 47 | `                        HOME_SEQUENCE_ERROR_INVALID_ORDER;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 48 | `                    break;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 49 | `                }` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 50 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 51 | `                currentStep =` | Asigna o configura un valor; en recetas define un parametro usado por el firmware. |
| 52 | `                    HOME_STEP_PRINT_HOME_ORDER;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 53 | `                break;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 54 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 55 | `            case HOME_STEP_PRINT_HOME_ORDER:` | Parte de una maquina de estados o seleccion multiple. |
| 56 | `                motion.printHomeOrder();` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 57 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 58 | `                currentStep =` | Asigna o configura un valor; en recetas define un parametro usado por el firmware. |
| 59 | `                    HOME_STEP_INITIALIZE_HARDWARE;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 60 | `                break;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 61 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 62 | `            case HOME_STEP_INITIALIZE_HARDWARE:` | Parte de una maquina de estados o seleccion multiple. |
| 63 | `                motion.init();` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 64 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 65 | `                currentStep =` | Asigna o configura un valor; en recetas define un parametro usado por el firmware. |
| 66 | `                    HOME_STEP_EXECUTE_HOME;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 67 | `                break;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 68 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 69 | `            case HOME_STEP_EXECUTE_HOME: {` | Parte de una maquina de estados o seleccion multiple. |
| 70 | `                printf("Starting HOME...\n");` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 71 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 72 | `                bool homingOk =` | Declara o implementa una funcion/metodo; sus parametros controlan la operacion y su retorno informa resultado o dato. |
| 73 | `                    motion.homeAll();` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 74 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 75 | `                if (!homingOk) {` | Evalua una condicion para decidir si ejecutar el bloque siguiente. |
| 76 | `                    printf("ERROR: HOME failed.\n");` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 77 | `                    motion.emergencyStop();` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 78 | `                    homeResult =` | Asigna o configura un valor; en recetas define un parametro usado por el firmware. |
| 79 | `                        HOME_SEQUENCE_ERROR_HOMING_FAILED;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 80 | `                    break;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 81 | `                }` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 82 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 83 | `                printf("HOME completed.\n");` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 84 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 85 | `                currentStep =` | Asigna o configura un valor; en recetas define un parametro usado por el firmware. |
| 86 | `                    HOME_STEP_DONE;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 87 | `                break;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 88 | `            }` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 89 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 90 | `            case HOME_STEP_DONE:` | Parte de una maquina de estados o seleccion multiple. |
| 91 | `                break;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 92 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 93 | `            default:` | Parte de una maquina de estados o seleccion multiple. |
| 94 | `                motion.emergencyStop();` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 95 | `                homeResult =` | Asigna o configura un valor; en recetas define un parametro usado por el firmware. |
| 96 | `                    HOME_SEQUENCE_ERROR_HOMING_FAILED;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 97 | `                break;` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 98 | `        }` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 99 | `    }` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 100 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 101 | `    if (homeResult != HOME_SEQUENCE_OK) {` | Evalua una condicion para decidir si ejecutar el bloque siguiente. |
| 102 | `        printf(` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 103 | `            "ERROR: HOME sequence failed with code %d.\n",` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 104 | `            homeResult` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 105 | `        );` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 106 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 107 | `        while (true) {` | Inicia un ciclo de repeticion sobre indices, estados o condiciones. |
| 108 | `            tight_loop_contents();` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 109 | `        }` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 110 | `    }` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
| 111 | ` ` | Linea en blanco usada para separar bloques y mejorar lectura. |
| 112 | `    return homeResult;` | Finaliza la funcion devolviendo el valor o estado indicado. |
| 113 | `}` | Instruccion de codigo/configuracion que participa en el flujo descrito por el bloque donde aparece. |
